Scopus Source ID,Title,CiteScore 2023,SNIP 2023,SJR 2023,SCIMAGO Best Quartile 2023,SCIMAGO Categories,Publisher,Type,Open Access,URL Scopus Source ID,Print ISSN,E-ISSN
25387,Acta Diabetologica,7.3,0.943,0.98,Q1,"Internal Medicine (Q1); Medicine (miscellaneous) (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)",Springer Nature,journal,No,https://www.scopus.com/sourceid/25387,0940-5429,1432-5233
27099,Acta Geographica Slovenica,2.6,0.509,0.295,Q1,"Cultural Studies (Q1); Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3)","ZRC SAZU, Zalozba ZRC",journal,Yes,https://www.scopus.com/sourceid/27099,1581-6613,1581-8314
4700152635,Acta Geotechnica,9.9,2.244,2.089,Q1,Earth and Planetary Sciences (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1),Springer Nature,journal,No,https://www.scopus.com/sourceid/4700152635,1861-1125,1861-1133
21100286403,Acta Historiae Artis Slovenica,0.6,1.293,0.257,Q1,Cultural Studies (Q1); History (Q1); Visual Arts and Performing Arts (Q1),"ZRC SAZU, Zalozba ZRC",journal,Yes,https://www.scopus.com/sourceid/21100286403,1408-0419,
19700180507,Acta Histriae,0.7,1.242,0.619,Q1,History (Q1),Historical Society of Southern Primorska of Koper,journal,No,https://www.scopus.com/sourceid/19700180507,1318-0185,
21100829208,Acta Linguistica Academica,1,0.571,0.344,Q1,Cultural Studies (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1),Akademiai Kiado,journal,No,https://www.scopus.com/sourceid/21100829208,2559-8201,
28583,Acta Materialia,16.1,2.545,2.916,Q1,"Ceramics and Composites (Q1); Electronic, Optical and Magnetic Materials (Q1); Metals and Alloys (Q1); Polymers and Plastics (Q1)",Elsevier,journal,No,https://www.scopus.com/sourceid/28583,1359-6454,
24527,Acta Mathematica,6,4.089,4.814,Q1,Mathematics (miscellaneous) (Q1),Royal Swedish Academy of Sciences,journal,No,https://www.scopus.com/sourceid/24527,0001-5962,
13835,Acta Mechanica Sinica/Lixue Xuebao,5.6,1.154,0.809,Q1,Computational Mechanics (Q1); Mechanical Engineering (Q1),Springer Nature,journal,No,https://www.scopus.com/sourceid/13835,0567-7718,1614-3116
28585,Acta Metallurgica Sinica (English Letters),6.6,1.041,0.732,Q1,Industrial and Manufacturing Engineering (Q1); Metals and Alloys (Q1),Science Press,journal,No,https://www.scopus.com/sourceid/28585,1006-7191,
21100847480,Acta Neophilologica,0.4,0.499,0.378,Q1,Linguistics and Language (Q1),"University of Ljubljana, Faculty of Arts",journal,Yes,https://www.scopus.com/sourceid/21100847480,0567-784X,2350-417X
20412,Acta Neurochirurgica,4.4,1.109,0.795,Q1,Surgery (Q1); Neurology (clinical) (Q2),Springer Nature,journal,No,https://www.scopus.com/sourceid/20412,0001-6268,0942-0940
17548,Acta Neurologica Scandinavica,6.7,0.886,0.895,Q1,Medicine (miscellaneous) (Q1); Neurology (Q2); Neurology (clinical) (Q2),Wiley-Blackwell,journal,No,https://www.scopus.com/sourceid/17548,0001-6314,1600-0404
17552,Acta Neuropathologica,23.7,2.438,4.72,Q1,Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1),Springer Nature,journal,No,https://www.scopus.com/sourceid/17552,0001-6322,1432-0533
21100367530,Acta neuropathologica communications,11.2,1.344,2.58,Q1,Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1),Springer Nature,journal,Yes,https://www.scopus.com/sourceid/21100367530,,2051-5960
24535,Acta Numerica,26,11.381,8.913,Q1,Mathematics (miscellaneous) (Q1); Numerical Analysis (Q1),Cambridge University Press,journal,No,https://www.scopus.com/sourceid/24535,0962-4929,1474-0508
